gas_id,goaf_id,coal_seam,monitoring_point,gas_type,gas_concentration,concentration_unit,monitoring_equipment,monitoring_method,monitoring_date,seal_status,remarks
HX001-GAS019,,5-2,￥16￥运输巷,CO₂,￥546￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS020,,5-2,￥16￥运输巷,CH₄,￥467￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS021,,5-2,￥16￥中间巷,O₂,￥545￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS022,,5-2,￥16￥中间巷,N₂,￥544￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS023,,5-2,￥16￥中间巷,CO,￥467￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS024,,5-2,￥16￥中间巷,CO₂,￥543￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS025,,5-2,￥16￥中间巷,CH₄,￥467￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS026,,5-2,￥26￥采空区,O₂,￥542￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS027,,5-2,￥26￥采空区,N₂,￥541￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS028,,5-2,￥26￥采空区,CO,￥467￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS029,,5-2,￥26￥采空区,CO₂,￥540￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS030,,5-2,￥26￥采空区,CH₄,￥467￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS031,,5-2,￥26￥工作面采空区,O₂,￥539￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS032,,5-2,￥26￥工作面采空区,N₂,￥538￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS033,,5-2,￥26￥工作面采空区,CO,￥467￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS034,,5-2,￥26￥工作面采空区,CO₂,￥537￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS035,,5-2,￥26￥工作面采空区,CH₄,￥467￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS036,,5-2,￥26￥回风巷￥536￥m钻孔,O₂,￥535￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS037,,5-2,￥26￥回风巷￥536￥m钻孔,N₂,￥534￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS038,,5-2,￥26￥回风巷￥536￥m钻孔,CO,￥467￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS039,,5-2,￥26￥回风巷￥536￥m钻孔,CO₂,￥533￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS040,,5-2,￥26￥回风巷￥536￥m钻孔,CH₄,￥467￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS041,,5-2,￥26￥回风隅角,O₂,￥532￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS042,,5-2,￥26￥回风隅角,N₂,￥531￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS043,,5-2,￥26￥回风隅角,CO,￥467￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS044,,5-2,￥26￥回风隅角,CO₂,￥530￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS045,,5-2,￥26￥回风隅角,CH₄,￥467￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS046,,5-2,￥26￥运输巷￥529￥m钻孔,O₂,￥528￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS047,,5-2,￥26￥运输巷￥529￥m钻孔,N₂,￥527￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS048,,5-2,￥26￥运输巷￥529￥m钻孔,CO,￥467￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS049,,5-2,￥26￥运输巷￥529￥m钻孔,CO₂,￥526￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS050,,5-2,￥26￥运输巷￥529￥m钻孔,CH₄,￥467￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS051,,5-2,￥26￥运输巷￥13￥#联巷,O₂,￥525￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS052,,5-2,￥26￥运输巷￥13￥#联巷,N₂,￥524￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS053,,5-2,￥26￥运输巷￥13￥#联巷,CO,￥467￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS054,,5-2,￥26￥运输巷￥13￥#联巷,CO₂,￥523￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS055,,5-2,￥26￥运输巷￥13￥#联巷,CH₄,￥467￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS056,,5-2,￥26￥运输巷￥9￥#联巷,O₂,￥522￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS057,,5-2,￥26￥运输巷￥9￥#联巷,N₂,￥521￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS058,,5-2,￥26￥运输巷￥9￥#联巷,CO,￥467￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS059,,5-2,￥26￥运输巷￥9￥#联巷,CO₂,￥520￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS060,,5-2,￥26￥运输巷￥9￥#联巷,CH₄,￥467￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS061,,5-2,￥2￥回风巷,O₂,￥519￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS062,,5-2,￥2￥回风巷,N₂,￥518￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS063,,5-2,￥2￥回风巷,CO,￥467￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS064,,5-2,￥2￥回风巷,CO₂,￥517￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS065,,5-2,￥2￥回风巷,CH₄,￥467￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS066,,5-2,￥2￥运输巷,O₂,￥516￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS067,,5-2,￥2￥运输巷,N₂,￥515￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS068,,5-2,￥2￥运输巷,CO,￥467￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS069,,5-2,￥2￥运输巷,CO₂,￥514￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS070,,5-2,￥2￥运输巷,CH₄,￥467￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS071,,5-2,￥496￥运输巷￥64￥#联巷,O₂,￥513￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS072,,5-2,￥496￥运输巷￥64￥#联巷,N₂,￥512￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS073,,5-2,￥496￥运输巷￥64￥#联巷,CO,￥467￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS074,,5-2,￥496￥运输巷￥64￥#联巷,CO₂,￥511￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS075,,5-2,￥496￥运输巷￥64￥#联巷,CH₄,￥467￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS076,,5-2,￥496￥运输巷￥10￥#联巷,O₂,￥510￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS077,,5-2,￥496￥运输巷￥10￥#联巷,N₂,￥509￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS078,,5-2,￥496￥运输巷￥10￥#联巷,CO,￥467￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS079,,5-2,￥496￥运输巷￥10￥#联巷,CO₂,￥508￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS080,,5-2,￥496￥运输巷￥10￥#联巷,CH₄,￥467￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS081,,5-2,￥26￥综采工作面采空密闭,CO,￥25￥,ppm,,气相色谱检测,￥17￥年,已封闭,球胆采样-CO浓度最大￥25￥ppm
HX001-GAS083,,5-2,￥496￥运输巷￥10￥#联巷,O₂,￥510￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS084,,5-2,￥496￥运输巷￥10￥#联巷,N₂,￥509￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS085,,5-2,￥496￥运输巷￥10￥#联巷,CO₂,￥508￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS086,,5-2,￥496￥运输巷￥13￥#联巷,O₂,￥507￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS087,,5-2,￥496￥运输巷￥13￥#联巷,N₂,￥506￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS088,,5-2,￥496￥运输巷￥13￥#联巷,CO₂,￥505￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS089,,5-2,￥496￥运输巷￥23￥#联巷,O₂,￥504￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS090,,5-2,￥496￥运输巷￥23￥#联巷,N₂,￥503￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS091,,5-2,￥496￥运输巷￥23￥#联巷,CO₂,￥490￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS092,,5-2,￥496￥运输巷￥4￥#联巷,O₂,￥502￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS093,,5-2,￥496￥运输巷￥4￥#联巷,N₂,￥501￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS094,,5-2,￥496￥运输巷￥4￥#联巷,CO₂,￥500￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS095,,5-2,￥496￥运输巷￥9￥#联巷,O₂,￥499￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS096,,5-2,￥496￥运输巷￥9￥#联巷,N₂,￥498￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS097,,5-2,￥496￥运输巷￥9￥#联巷,CO₂,￥497￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS098,,5-2,￥496￥运输巷￥21￥#联巷,O₂,￥495￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS099,,5-2,￥496￥运输巷￥21￥#联巷,N₂,￥494￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS100,,5-2,￥496￥运输巷￥21￥#联巷,CO₂,￥493￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS101,,5-2,￥1￥回风巷,O₂,￥492￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS102,,5-2,￥1￥回风巷,N₂,￥491￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS103,,5-2,￥1￥回风巷,CO₂,￥490￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS104,,5-2,￥1￥皮带运输巷,O₂,￥489￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS105,,5-2,￥1￥皮带运输巷,N₂,￥488￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS106,,5-2,￥1￥皮带运输巷,CO₂,￥487￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS107,,5-2,￥1￥运输巷￥23￥,O₂,￥486￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS108,,5-2,￥1￥运输巷￥23￥,N₂,￥485￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS109,,5-2,￥1￥运输巷￥23￥,CO₂,￥484￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS110,,5-2,￥1￥运输巷￥4￥,O₂,￥483￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS111,,5-2,￥1￥运输巷￥4￥,N₂,￥482￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS112,,5-2,￥1￥运输巷￥4￥,CO₂,￥481￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS113,,5-2,￥1￥运输巷￥9￥,O₂,￥480￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS114,,5-2,￥1￥运输巷￥9￥,N₂,￥479￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS115,,5-2,￥1￥运输巷￥9￥,CO₂,￥478￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS116,,5-2,￥1￥运输巷末端,O₂,￥477￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS117,,5-2,￥1￥运输巷末端,N₂,￥476￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS118,,5-2,￥1￥运输巷末端,CO₂,￥475￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS119,,5-2,5-2东翼辅运￥474￥m钻孔,O₂,￥473￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS120,,5-2,5-2东翼辅运￥474￥m钻孔,N₂,￥472￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS121,,5-2,5-2东翼辅运￥474￥m钻孔,CO₂,￥471￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS122,,5-2,5-2煤西翼回风巷,O₂,￥470￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS123,,5-2,5-2煤西翼回风巷,N₂,￥469￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS124,,5-2,5-2煤西翼回风巷,CO₂,￥468￥,%,KSS200C,束管监测系统,￥17￥年￥32￥月~￥17￥年￥29￥月,已封闭,5-2煤层
HX001-GAS082,,5-2,￥26￥综采工作面采空密闭,CO₂,￥24￥,%,,气相色谱检测,￥17￥年,已封闭,球胆采样-CO₂浓度最大￥24￥%-存在CO₂气体积聚

